Sample	Species	Abundance
GF24_Adam_d100_stool	Enterococcus_faecalis	14.36591
GF24_Adam_d100_stool	Varibaculum_cambriense	10.66965
GF24_Adam_d100_stool	Proteus_mirabilis	9.51886
GF24_Adam_d100_stool	Escherichia_coli	8.11377
GF24_Adam_d100_stool	Clostridium_innocuum	6.96767
GF24_Adam_d100_stool	Klebsiella_aerogenes	5.37106
GF24_Adam_d100_stool	Clostridium_neonatale	5.23313
GF24_Adam_d100_stool	Finegoldia_magna	2.92344
GF24_Adam_d100_stool	Clostridioides_difficile	2.89595
GF24_Adam_d100_stool	Citrobacter_freundii	0.61991
GF24_Adam_d100_stool	Clostridium_paraputrificum	0.18438
GF24_B1_33_cwash	Klebsiella_aerogenes	55.50582
GF24_B1_33_cwash	Escherichia_coli	17.35613
GF24_B1_33_cwash	Clostridium_innocuum	12.97329
GF24_B1_33_cwash	Clostridium_paraputrificum	8.8006
GF24_B1_33_cwash	Clostridium_sp_7_2_43FAA	3.27793
GF24_B1_33_cwash	Clostridium_neonatale	1.10172
GF24_B1_33_cwash	Klebsiella_pneumoniae	0.81549
GF24_B1_33_cwash	Clostridium_perfringens	0.16901
GF24_B1_64_cwash	Clostridioides_difficile	22.3587
GF24_B1_64_cwash	Clostridium_paraputrificum	16.66124
GF24_B1_64_cwash	Klebsiella_oxytoca	15.94432
GF24_B1_64_cwash	Citrobacter_freundii	9.97438
GF24_B1_64_cwash	Escherichia_coli	7.53504
GF24_B1_64_cwash	Clostridium_innocuum	6.94088
GF24_B1_64_cwash	Clostridium_sp_7_2_43FAA	6.02205
GF24_B1_64_cwash	Proteus_mirabilis	4.16312
GF24_B1_64_cwash	Clostridium_neonatale	3.73943
GF24_B1_64_cwash	Enterococcus_faecalis	3.32586
GF24_B1_64_cwash	Clostridium_perfringens	1.38534
GF24_B1_64_cwash	Klebsiella_michiganensis	1.18577
GF24_B1_64_cwash	Klebsiella_aerogenes	0.76387
GF24_B2_33_cwash	Klebsiella_aerogenes	64.3655
GF24_B2_33_cwash	Clostridium_paraputrificum	11.58222
GF24_B2_33_cwash	Clostridium_perfringens	6.31416
GF24_B2_33_cwash	Proteus_mirabilis	6.15116
GF24_B2_33_cwash	Clostridium_innocuum	5.50348
GF24_B2_33_cwash	Klebsiella_pneumoniae	2.997
GF24_B2_33_cwash	Clostridioides_difficile	2.1883
GF24_B2_33_cwash	Clostridium_neonatale	0.79281
GF24_B2_33_cwash	Enterococcus_faecalis	0.10538
GF24_B2_64_cwash	Clostridioides_difficile	23.94761
GF24_B2_64_cwash	Clostridium_paraputrificum	16.2394
GF24_B2_64_cwash	Clostridium_innocuum	11.91985
GF24_B2_64_cwash	Klebsiella_oxytoca	9.0131
GF24_B2_64_cwash	Clostridium_sp_7_2_43FAA	8.03044
GF24_B2_64_cwash	Clostridium_perfringens	6.55469
GF24_B2_64_cwash	Citrobacter_freundii	5.86667
GF24_B2_64_cwash	Proteus_mirabilis	4.75078
GF24_B2_64_cwash	Escherichia_coli	4.49026
GF24_B2_64_cwash	Enterococcus_faecalis	3.61477
GF24_B2_64_cwash	Klebsiella_michiganensis	3.16255
GF24_B2_64_cwash	Enterobacter_cloacae_complex	1.38851
GF24_B2_64_cwash	Clostridium_neonatale	0.91685
GF24_B2_64_cwash	Klebsiella_aerogenes	0.10451
GF24_B2_d74_cwash	Klebsiella_aerogenes	80.54576
GF24_B2_d74_cwash	Klebsiella_pneumoniae	6.86177
GF24_B2_d74_cwash	Clostridium_sp_7_2_43FAA	3.19792
GF24_B2_d74_cwash	Enterococcus_faecalis	2.82407
GF24_B2_d74_cwash	Clostridium_paraputrificum	1.99123
GF24_B2_d74_cwash	Clostridium_perfringens	1.97503
GF24_B2_d74_cwash	Clostridioides_difficile	1.66138
GF24_B2_d74_cwash	Escherichia_coli	0.61315
GF24_B2_d74_cwash	Achromobacter_insuavis	0.32969
GF24_B3_33_cwash	Klebsiella_aerogenes	58.77691
GF24_B3_33_cwash	Proteus_mirabilis	13.13572
GF24_B3_33_cwash	Clostridium_paraputrificum	8.13544
GF24_B3_33_cwash	Clostridium_innocuum	6.55996
GF24_B3_33_cwash	Clostridium_sp_7_2_43FAA	6.45094
GF24_B3_33_cwash	Clostridium_perfringens	2.45415
GF24_B3_33_cwash	Clostridium_neonatale	1.76325
GF24_B3_33_cwash	Clostridioides_difficile	1.69707
GF24_B3_33_cwash	Klebsiella_pneumoniae	0.61485
