Sample,Clostridium_tertium,Clostridium_paraputrificum,Collinsella_SGB47280,Clostridium_neonatale,Clostridioides_difficile,Escherichia_coli,Bifidobacterium_breve,Dysgonomonas_capnocytophagoides,Enterococcus_faecalis,Citrobacter_rodentium,Citrobacter_freundii,Klebsiella_oxytoca,Clostridium_butyricum,Escherichia_marmotae,Clostridium_perfringens,Veillonella_parvula,Varibaculum_cambriense,Peptoniphilus_harei,Klebsiella_michiganensis,Finegoldia_magna,Proteus_mirabilis,Morganella_morganii,Gleimia_europaea,Negativicoccus_succinicivorans,Anaerococcus_obesiensis,Peptoniphilus_lacydonensis,Streptococcus_gordonii,Staphylococcus_aureus,Anaerococcus_hydrogenalis,Cutibacterium_acnes,Streptococcus_thermophilus,Fusobacterium_nucleatum,GGB9832_SGB15480,Clostridium_SGB65123
GF2_A2_day31,0,0,0,0,0,66.37419,0,0,2.05066,0,31.57514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A2_day32,0,0,0,0,0,78.32072,0,0,2.84161,0,18.83767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A2_day34,0,0,0,0,0.39482,0,13.48075,43.95535,35.42154,0,6.74754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A2_day41,9.16119,17.40318,18.17974,13.2065,5.61668,1.78403,1.43127,1.43374,0.05561,15.42272,0,1.25076,14.92902,0,0,0,0,0,0,0,0,0.12555,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A2_day42,2.8635,12.13223,14.58983,21.15719,2.15406,2.08719,10.50497,4.60106,1.36556,10.75562,0.1794,1.91192,15.11881,0,0,0,0,0,0,0,0,0.57868,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A2_day44,1.17479,9.51548,5.12139,9.59965,0.47646,1.12329,40.9362,12.00705,0.85665,14.23378,0.28162,0.47367,4.00788,0,0,0,0,0,0,0,0,0.19209,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A3_Colon,0.83996,7.21364,0.34994,13.66918,4.28947,0.86212,24.76606,24.5727,0.98156,21.12237,0.19613,0.8641,0,0,0,0,0,0,0,0,0,0.15941,0.11337,0,0,0,0,0,0,0,0,0,0,0
GF2_A3_d37,22.64651,35.58573,1.95604,4.44514,9.69333,4.46613,11.02884,9.39627,0.53301,0.17636,0.07265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A3_d39,9.92836,23.06176,5.10924,6.73319,6.5012,3.19789,20.77757,20.7956,0.11243,3.5426,0.0274,0.21277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A3_day28,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
