Sample,Clostridiaceae,Enterobacteriaceae,Erysipelotrichaceae,Peptostreptococcaceae,Enterococcaceae,Veillonellaceae,Morganellaceae,Peptoniphilaceae,Campylobacteraceae,Actinomycetaceae,Bacillales_unclassified,Bacteroidaceae,Akkermansiaceae,Lactobacillaceae,Lachnospiraceae,Sutterellaceae,Proteobacteria_unclassified,Streptococcaceae,Staphylococcaceae,Sphingomonadaceae,Bifidobacteriaceae,Corynebacteriaceae,Dermabacteraceae,Mycobacteriaceae,Ruminococcaceae,Eggerthellaceae,Oscillospiraceae,Propionibacteriaceae,Fusobacteriaceae,Yersiniaceae,Pseudomonadaceae,Alcaligenaceae,Sphingobacteriaceae,Comamonadaceae,Paenibacillaceae,Moraxellaceae
GF1_B17,53.27646,6.21689,19.29567,7.18549,2.36627,4.77978,1.04269,2.2964,1.77103,1.76933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF1_B25,56.15216,4.05566,15.91911,7.90863,1.65911,4.90961,0.55764,3.95711,1.76194,3.11903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF1_B3_d38,48.68524,6.29659,31.03343,10.44965,0.67903,0,0.55582,2.11314,0,0.18711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF1_B5_D38,48.84945,7.00567,33.25909,8.39485,2.32762,0,0.16332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF1_B6_d38,55.99118,5.66969,25.98555,10.41022,1.76203,0,0.18133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF1_B7_D38,61.59407,4.70962,21.93516,8.63498,2.94926,0,0.17692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF1_C_mom_d32,60.34954,2.81069,17.44232,6.29668,1.89193,3.74119,1.1683,3.72307,0,2.57628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF1_C10,46.05232,9.9158,21.12827,13.88596,2.3865,2.81619,0.31227,1.90941,1.4866,0.10668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF1_C14,51.51186,5.14608,21.65192,8.94059,2.39429,4.73888,1.49587,1.92098,0.7504,1.44912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF1_C17,52.60701,3.5236,22.00848,11.54865,2.00809,3.87555,0.86401,1.67323,0.54906,1.34234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF1_C25,57.89299,4.65079,19.98492,7.82061,1.92148,2.81354,0.60839,1.83938,0.95486,1.51305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
