Sample	f__Actinomycetaceae	f__Akkermansiaceae	f__Bacillales_unclassified	f__Bacteroidaceae	f__Bifidobacteriaceae	f__Campylobacteraceae	f__Clostridiaceae	f__Corynebacteriaceae	f__Dermabacteraceae	f__Eggerthellaceae	f__Enterobacteriaceae	f__Enterococcaceae	f__Erysipelotrichaceae	f__Fusobacteriaceae	f__Lachnospiraceae	f__Lactobacillaceae	f__Morganellaceae	f__Mycobacteriaceae	f__Oscillospiraceae	f__Peptoniphilaceae	f__Peptostreptococcaceae	f__Propionibacteriaceae	f__Proteobacteria_unclassified	f__Pseudomonadaceae	f__Ruminococcaceae	f__Sphingomonadaceae	f__Staphylococcaceae	f__Streptococcaceae	f__Sutterellaceae	f__Veillonellaceae	f__Yersiniaceae
GF1_B7_D38	0	0	0	0	0	0	61.59407	0	0	0	4.70962	2.94926	21.93516	0	0	0	0.17692	0	0	0	8.63498	0	0	0	0	0	0	0	0	0	0
GF1_C_mom_d32	2.57628	0	0	0	0	0	60.34954	0	0	0	2.81069	1.89193	17.44232	0	0	0	1.1683	0	0	3.72307	6.29668	0	0	0	0	0	0	0	0	3.74119	0
GF1_C10	0.10668	0	0	0	0	1.4866	46.05232	0	0	0	9.9158	2.3865	21.12827	0	0	0	0.31227	0	0	1.90941	13.88596	0	0	0	0	0	0	0	0	2.81619	0
GF1_C14	1.44912	0	0	0	0	0.7504	51.51186	0	0	0	5.14608	2.39429	21.65192	0	0	0	1.49587	0	0	1.92098	8.94059	0	0	0	0	0	0	0	0	4.73888	0
GF1_C17	1.34234	0	0	0	0	0.54906	52.60701	0	0	0	3.5236	2.00809	22.00848	0	0	0	0.86401	0	0	1.67323	11.54865	0	0	0	0	0	0	0	0	3.87555	0
GF1_C25	1.51305	0	0	0	0	0.95486	57.89299	0	0	0	4.65079	1.92148	19.98492	0	0	0	0.60839	0	0	1.83938	7.82061	0	0	0	0	0	0	0	0	2.81354	0
GF1_C4_d39	0	0	0	0	0	0	49.16924	0	0	0	10.13473	13.23708	18.18167	0	0	0	0	0	0	0	9.27728	0	0	0	0	0	0	0	0	0	0
GF1_C6_d39	0	0	0	0	0	0	33.90406	0	0	0	13.50917	19.34285	28.50523	0	0	0	0	0	0	0	4.73869	0	0	0	0	0	0	0	0	0	0
GF1_C7_d39	0	0	0	0	0	0	24.50385	0	0	0	11.37139	26.35101	31.28764	0	0	0	0	0	0	0	6.48611	0	0	0	0	0	0	0	0	0	0
GF1_INOC_GF1	0.05614	0	0	0	0	0	15.11277	0	0	0	55.75864	8.95423	4.33475	0	0	0	0.44602	0	0	0.03714	3.41741	0	0	0	0	0	0.07161	0.35091	0	11.46037	0
