Sample,Peptoniphilaceae,Enterococcaceae,Actinomycetaceae,Bifidobacteriaceae,Enterobacteriaceae,Streptococcaceae,Clostridiaceae,Staphylococcaceae,Veillonellaceae,Morganellaceae,Pseudomonadaceae,Peptostreptococcaceae,Erysipelotrichaceae,Alcaligenaceae,Dermabacteraceae,Campylobacteraceae,Bacillales_unclassified,Bacteroidaceae,Akkermansiaceae,Lactobacillaceae,Lachnospiraceae,Sutterellaceae,Proteobacteria_unclassified,Sphingomonadaceae,Corynebacteriaceae,Mycobacteriaceae,Ruminococcaceae,Eggerthellaceae,Oscillospiraceae,Propionibacteriaceae,Fusobacteriaceae,Yersiniaceae,Sphingobacteriaceae,Comamonadaceae,Paenibacillaceae,Moraxellaceae
GF24_C5_36_stool,0,0.84695,0,0,99.15305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_C5_38_stool,0,81.5583,0,0,0,0,0,0,0,0,0,0,18.4417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_C5_d108_cwash,0,0.13626,0,0,94.0119,0,0,0,0,0,0,0,0,5.85184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_C5_d129_cwash,0,0.093,0,0,95.28282,0,2.23667,0,0,1.06939,0,0.40503,0,0.91308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_C5_d85_stool,0,0.8457,0,0,98.76096,0,0.22112,0,0,0,0,0.12435,0,0.04787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_C5_d86_cwash,0,0,0,0,77.64129,0,0,0,0,0,0,0,3.30096,19.05775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_C6_36_stool,0,4.17908,0,0,93.70801,0,0.36595,0,0,0,0,1.74696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_C6_37_stool,0,4.91908,0,0,89.26752,0,4.27455,0,0,0,0,1.53885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_C6_38_stool,0,97.36824,0,0,1.58053,0,0,0,0,0,0,0,1.05123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_C6_d108_cwash,0,0.22189,0,0,90.97225,0,6.45476,0,0,0,0,1.31306,0.69186,0.34618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_C6_d129_cwash,0,0.23983,0,0,93.10344,0,1.22185,0,0,0,0,0,0,5.43488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_C6_d85_stool,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_C6_d86_cwash,0,0.70037,0,0,89.02763,0,5.42031,0,0,0,0,0,4.85169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_C7_d108_cwash,0,0,0,0,90.21535,0,0,0,0,0,0,0,0,9.78465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_C7_d129_cwash,0,0,0,0,97.34876,0,0.87242,0,0,0,0,0.35553,0,1.42329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_C7_d85_stool,0,1.21395,0,0,97.81491,0,0.35624,0,0,0,0,0.61491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_C7_d86_cwash,0,6.75369,0,0,85.34742,0,4.74847,0,0,0,0,0.38985,2.51154,0.24903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_C8_d108_cwash,0,0.15403,0,0,98.20558,0,0.0381,0,0,0,0,0.02829,0,1.574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_C8_d85_stool,0,3.0528,0,0,96.9472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_C8_d86_cwash,0,1.62731,0,0,84.25248,0,8.48524,0,0,0.33095,0,2.08249,3.01807,0.20345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_C9_d108_cwash,0,0.40003,0,0,82.08981,0,4.04313,0,0,0,0,0,8.08546,5.38156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_C9_d85_stool,0,1.66079,0,0,97.12639,0,0.05974,0,0,0.08277,0,1.07031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_C9_d86_cwash,0,3.74869,0,0,77.99924,0,10.37034,0,0,0,0,1.17872,5.87031,0.83271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_Cdam_d108_stool,0,12.76876,14.28209,0,19.65841,0,27.8988,0,0,3.42095,0,3.36885,18.60214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_damA_18_stool,0.19872,17.73209,24.07472,0,23.66031,0,23.54837,0,0,2.23089,0,1.95433,6.60057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
