Sample	Class	Abundance
GF27_A2_d33_cwash	Erysipelotrichia	5.34267
GF27_A2_d33_cwash	Clostridia	3.70728
GF27_A3_d33_cwash	Gammaproteobacteria	84.82187
GF27_A3_d33_cwash	Clostridia	9.75416
GF27_A3_d33_cwash	Betaproteobacteria	2.73302
GF27_A3_d33_cwash	Erysipelotrichia	2.69095
GF27_A6_d33_cwash	Gammaproteobacteria	88.21256
GF27_A6_d33_cwash	Clostridia	5.93563
GF27_A6_d33_cwash	Betaproteobacteria	3.91934
GF27_A6_d33_cwash	Erysipelotrichia	1.93248
GF27_A7_d33_cwash	Gammaproteobacteria	88.83009
GF27_A7_d33_cwash	Clostridia	4.29356
GF27_A7_d33_cwash	Betaproteobacteria	3.7894
GF27_A7_d33_cwash	Erysipelotrichia	3.08694
GF27_A8_d33_cwash	Gammaproteobacteria	85.38738
GF27_A8_d33_cwash	Betaproteobacteria	7.89298
GF27_A8_d33_cwash	Clostridia	5.66773
GF27_A8_d33_cwash	Erysipelotrichia	1.05191
GF27_GF27_Inoc	Bacilli	55.76794
GF27_GF27_Inoc	Gammaproteobacteria	38.82905
GF27_GF27_Inoc	Negativicutes	3.021
GF27_GF27_Inoc	Clostridia	1.94719
